	informal	formal
1	0kmh	0 kmh
2	1007mb	1007 mb
3	1008mb	1008 mb
4	1009mb	1009 mb
5	100k	100 ribu
6	1010mb	1010 mb
7	1011mb	1011 mb
8	1012mb	1012 mb
9	1017mb	1017 mb
10	1018mb	1018 mb
11	106m	106 m
12	10km	10 kilometer
13	10rb	10 ribu
14	10th	kesepuluh
15	110cm	110 centimeter
16	120rb	120 ribu
17	150rb	150 ribu
18	15k	15000
19	17cm	17 cm
20	17th	17 tahun
21	1kmh	1 kilometer per jam
22	1st	pertama
23	1x	sekali
24	200rb	200.000
25	20k	20000
26	20rb	20 ribu
27	20th	keduapuluh
28	22c	22 c
29	23c	23 c
30	24c	24 c
31	24th	24 tahun
32	25c	25 c
33	25th	25 tahun
34	26c	26 c
35	27c	27 c
36	28c	28 c
37	29c	29 c
38	2kmh	2 kilometer per jam
39	2nd	kedua
40	2x	dua kali
41	300rb	300 ribu
42	30c	30 c
43	30s	30 detik
44	31c	31 c
45	350rb	350 ribu
46	3kmh	1 kilometer per jam
47	3rd	ketiga
48	4kmh	4 kilometer per jam
49	4th	keempat
50	4x	4 kali
51	500rb	500 ribu
52	50k	50000
53	50rb	50000
54	551pm	5:51 sore
55	552pm	5:52 sore
56	5k	5 ribu
57	5kmh	5 kmh
58	5th	kelima
59	5x	5 kali
60	60rb	60000
61	6kmh	6 kmh
62	6th	keenam
63	7kmh	7 kilometer per jam
64	7th	ketujuh
65	8th	8 tahun
66	9th	kesembilan
67	aa	kakak
68	aah	ah
69	aama	dengan
70	aamiin	amin
71	aamin	amin
72	abang2	abang-abang
73	abg	remaja tanggung
74	abi	ayah
75	abis	habis
76	abiss	habis
77	abisss	habis
78	abissss	habis
79	abizzz	habis
80	abisnya	habisnya
81	abng	abang
82	acc	menyetujui
83	acheh	aceh
84	achievements	penghargaan
85	activities	aktifitas
86	acne	jerawat
87	ad	ada
88	adaa	ada
89	adek	adik
90	adek2	adik-adik
91	adekku	adikku
92	adeknya	adiknya
93	adha	ada
94	adik2	adik-adik
95	adk	arsip data komputer
96	adlh	adalah
97	adoh	aduh
98	aduhh	aduh
99	aduhhh	aduh
100	adus	mandi
101	adventures	petualangan
102	ae	saja
103	agak	sedikit
104	agan	juragan
105	ahahaha	hahaha
106	ahhh	ah
107	ahhhh	ah
108	aing	aku
109	airline	perusahaan penerbangan
110	aj	saja
111	ajaa	saja
112	ajaaa	saja
113	ajaaaa	aja
114	ajah	saja
115	ajakin	mengajak
116	ajalah	saja-lah
117	ajarin	mengajarkan
118	aje	saja
119	ajg	anjing
120	ajh	aja
121	ajig	anjing
122	ak	aku
123	akeh	banyak
124	akhir2	akhir-akhir
125	akn	akan
126	akoh	aku
127	aktifitas	aktivitas
128	akuh	aku
129	akutu	aku itu
130	akutuh	aku itu
131	akuu	aku
132	akuuu	aku
133	akuuuu	aku
134	ala2	ala-ala
135	alaa	ala
136	alai	anak layangan
137	alamin	mengalami
138	alay	anak layangan
139	algo	algoritme
140	alhamdulillaah	alhamdulillah
141	allaah	Allah
142	allahuakbar	allahu akbar
143	allhamdulillah	alhamdulillah
144	alloh	allah
145	alon	pelan
146	alus	halus
147	amannnnn	aman
148	ambulan	ambulans
149	ambyar	bercerai-berai
150	america	amerika
151	american	Amerika
152	amigos	teman-teman
153	amiiin	amin
154	amiin	amin
155	aminnn	amin
156	amo	cinta
157	anak2	anak-anak
158	andalanque	andalanku
159	ancur	hancur
160	and	dan
161	ane	aku
162	aneh2	aneh-aneh
163	angels	malaikat
164	anget	hangat
165	anggep	anggap
166	animals	binatang
167	anjay	anjing
168	anjeng	anjing
169	anjg	anjing
170	anjirr	anjing
171	anjirrr	anjing
172	ank	anak
173	anter	antar
174	anterin	antarkan
175	antum	anda
176	anying	anjing
177	anymore	lagi
178	aapa	apa
179	ap	apa
180	apa2	apa-apa
181	apaa	apa
182	apaaa	apa
183	apakabar	apa kabar
184	apal	hafal
185	apartement	apartemen
186	apasih	apa
187	apo	apa
188	app	aplikasi
189	apus	hapus
190	aq	aku
191	aquarius	akuarius
192	aqui	akui
193	arabica	arabika
194	arep	harap
195	arrived	sampai
196	aseli	asli
197	ashar	asar
198	asik	asyik
199	asked	bertanya
200	asking	bertanya
201	assalammualaikum	assalamualaikum
202	astagaaa	astaga
203	at	pada
204	atjeh	aceh
205	atlit	atlet
206	ato	atau
207	attending	menghadiri
208	atu	satu
209	atw	atau
210	aunty	tante
211	awakmu	badanmu
212	awards	penghargaan
213	ay	sayang
214	aya	ada
215	ayok	ayo
216	ayoo	ayo
217	ayooo	ayo
218	ayoooo	ayo
219	babies	bayi-bayi
220	babybenz	baby benz
221	babynya	bayinya
222	bacod	berisik
223	badmood	suasana buruk
224	baek	baik
225	bagaimanapun	bagaimana pun
226	bagi2	bagi-bagi
227	bagus2	bagus-bagus
228	bai	selamat tinggal
229	baik2	baik-baik
230	baiq	baik
231	bakmie	bakmi
232	baksos	bakti sosial
233	balaikota	balai kota
234	balek	kembali
235	bales	membalas
236	balikin	kembalikan
237	balinese	orang bali
238	bambank	bambang
239	bang	ngab
240	bangett	sangat
241	bangettt	sangat
242	bangke	bangkai
243	bangun2	bangun-bangun
244	bangunin	membangunkan
245	bantuin	membantu
246	banyak2	banyak-banyak
247	banyakin	dibanyaki
248	bapak2	bapak-bapak
249	bapake	bapaknya
250	bapakibu	bapak ibu
251	baper	bawa perasaan
252	baperan	sensitif
253	barakallah	semoga diberkahi allah
254	bareng2	bersama-sama
255	barengan	bersama
256	barokah	berkah
257	baruu	baru
258	basecamp	markas
259	basudara	bersaudara
260	bathin	batin
261	batre	baterai
262	batur	teman
