userName,score,content
Kusyati Nisa,5,Mantaf skali mudah juga buat ikut pelatihan prakerja sangat mudah skali 👍sungguh bermanfaat bagi kami
Nurul Latifah,5,keren buat beli kartu prakerjaa
Lukman Hadi,1,"Lapak saya dibekukan, sudah komplain tidak ada tanggapan, tiba tiba ditutup oleh sistem, gajelas"
Felisona Hulu,1,Benar2 mengecewakan.Respon sangat lama.pokok nya tidak d rekomended
Don faizal,5,"Ini adalah salah satu tempat terbaik untuk belanja online ,apabila ada masalah antara penjual dan pembeli ,bukalapak cukup proactive sebagai pengambil solusi terbaik"
Tiara Dwi Mardiansyah,5,Sangat membantu untuk berbelanja dengan dagangan yang variatif
Pengguna Google,1,"Kenapa appk BUKA LAPAK sekarang susah,,, Saya sudah melakukan pembayaran tp belum terverifikasi,barang pesanan jd kadarluarsa,,, Mohon kembalikan saldo saya,buka applikasi bantuan nya mutar mutar,saya jd bingung,,,"
Kulon Tea,1,"Aplikasi apaan ini, pembayaran sudah dilakukan melalui mbaking BCA, tapi status pembayaran angsuran msh proses aja dari tgl 31 Mei 2022 sampai skrng. Tutup aja aplikasinya."
badru kowi,1,"Limit paylater nay ko gk naik naik padahl udh dari dulu jarang telat bayar ,,tolong tingatkan kya shopee smakin bagus riwayat semakin naik paylater nya."
Agung Wiratmoko,2,"Bintang 2 dulu, sampe sekarang belum bisa verifikasi email"
nur maulana,5,Bermanfaat dan mudah di mengerti
Abdul Kholiq,5,"Barang sudah diterima,dengan keadaan baik trimakasih"
Naufal Al muchsin,5,Dengan bukalapak membuat segala keperluan jadi mudah dan cepat
Pijar Samudra,3,"Sudah mau bangkrut kah? pilihan pulsa makin dikit, voucher makin dikit, bonus harian juga skrg udh ga ada.."
Dimas Mong,1,"Jual produk digital, tapi produknya tidak tampil 👎"
ahmad sopyan07,1,Toko gw di non aktifkan permanen dan semua produk dihapus otomatis. Dah susah2 ratusan upload produk eh maen tutup sama hapus aja.
Dendi 021,5,Pelayanan bagus banget mantap pokona mah lah
Aceng Khiyaruman,2,"Aplikasinya baik dan bisa dipercaya, sayangnya masih ada diskriminasi dalam promo dan bonus, dan tidak ada perubahan. Maaf bintanya harus saya turunkan."
Fauzul Nicky,5,Memang bukalapak the best.. Sangat membantu dalam segala hal.. Memuaskan pokoknya.. Terimakasih bukalapak 😎
Abua Din,5,"Apk sangat membantu, mudah dan sangat lengkap.. Terimakasih buka lapak 😉"
Rizal Kurniawan,5,"Respon dan proses transaksi dilapak ini cepat dan bersahabat, good job Bukalapak"
Iswan Iswan,2,"Harap di perhatikan setiap belanja d bukalapak sesalu ada yg nlp , dan saha pernah kejadian tertipu , untuk lewak ke akukaku aga ketat ke amana langsung akun saya d blok,"
Khufadz Fazari,4,"Bintangnya saya turunin jadi 2,,bukalapak eror,,,proses transaksi bermasalah,,,mohon segera diperbaiki"
Dwi Shaw,5,"Aplikasi nya bagus, sangat sangat membantu.... Kereeennnnn...!!!"
deni robiani,5,Sangat membantu disaat ada kebutuhan
andi pandangai,5,Sesuai barang...lebih cepat dari estimasi.. Terima kasih..mantappp
aguy_aguy M.komarullah,5,"Min tolong dunk untuk komplenan nya lebih dipermudah lagi,lngsung chat ke cs nya"
Asep Rama,5,"Oke banget, profesional dan kompetitif. Saya member paling lama di bukalapak"
dodi permadi,5,"Transaksi mudah, aman, cepat"
Mas Tejo,1,aplikasi di update makin gak jelas pesanan tidak bisa dibatalkan
egi Sihabudin,5,Mantap pelayanan yang sangat baik dan mudah
